Test_Scenario_ID,TC_ID,Index,Name,EventType,MAC,Port,Waiting,VlanValid,VlanID,FrameRef,Expected,Timeout,비고
1,1,0,FDB_Initialize,FdbInitialize,-,-,10ms,-,-,-,-,,Forwarding 검증_Static
1,1,1,MAC_FDB_Write,FdbWrite,A0:36:9F:A8:DA:60,0b000001,10ms,-,-,-,-,,
1,1,2,MAC_FDB_Write,FdbWrite,A0:36:9F:A8:DA:61,0b000010,10ms,-,-,-,-,,
1,1,3,MAC_FDB_Write,FdbWrite,A0:36:9F:A8:DA:62,0b000100,10ms,-,-,-,-,,
1,1,4,MAC_FDB_Write,FdbWrite,A0:36:9F:A8:DA:63,0b001000,10ms,-,-,-,-,,
1,1,5,MAC_FDB_Write,FdbWrite,6C:B3:11:1C:18:19,0b010000,10ms,-,-,-,-,,
1,1,6,MAC_FDB_Write,FdbWrite,6C:B3:11:1C:18:18,0b100000,10ms,-,-,-,-,,
1,1,7,Packet0 _Send,Packet,-,-,,FALSE,-,Packet_0,-,,
1,1,8,RX_Result,RxVerify,-,-,,-,-,-,A0:36:9F:A8:DA:61,5000ms,
1,1,9,Packet1 _Send,Packet,-,-,,FALSE,-,Packet_1,-,,
1,1,10,RX_Result,RxVerify,-,-,,-,-,-,A0:36:9F:A8:DA:62,5000ms,
1,1,11,Packet2 _Send,Packet,-,-,,FALSE,-,Packet_2,-,,
1,1,12,RX_Result,RxVerify,-,-,,-,-,-,A0:36:9F:A8:DA:63,5000ms,
1,1,13,Packet3 _Send,Packet,-,-,,FALSE,-,Packet_3,-,,
1,1,14,RX_Result,RxVerify,-,-,,-,-,-,6C:B3:11:1C:18:19,5000ms,
1,1,15,Packet4 _Send,Packet,-,-,,FALSE,-,Packet_4,-,,
1,1,16,RX_Result,RxVerify,-,-,,-,-,-,6C:B3:11:1C:18:18,5000ms,
1,1,17,Packet5 _Send,Packet,-,-,,FALSE,-,Packet_5,-,,
1,1,18,RX_Result,RxVerify,-,-,,-,-,-,A0:36:9F:A8:DA:60,5000ms,
1,1,19,Packet6 _Send,Packet,-,-,,FALSE,-,Packet_6,-,,
1,1,20,RX_Result,RxVerify,-,-,,-,-,-,A0:36:9F:A8:DA:62,5000ms,
1,1,21,Packet7 _Send,Packet,-,-,,FALSE,-,Packet_7,-,,
1,1,22,RX_Result,RxVerify,-,-,,-,-,-,A0:36:9F:A8:DA:63,5000ms,
1,1,23,Packet8 _Send,Packet,-,-,,FALSE,-,Packet_8,-,,
1,1,24,RX_Result,RxVerify,-,-,,-,-,-,6C:B3:11:1C:18:19,5000ms,
1,1,25,Packet9 _Send,Packet,-,-,,FALSE,-,Packet_9,-,,
1,1,26,RX_Result,RxVerify,-,-,,-,-,-,6C:B3:11:1C:18:18,5000ms,
1,1,27,Packet10 _Send,Packet,-,-,,FALSE,-,Packet_10,-,,
1,1,28,RX_Result,RxVerify,-,-,,-,-,-,A0:36:9F:A8:DA:60,5000ms,
1,1,29,Packet11 _Send,Packet,-,-,,FALSE,-,Packet_11,-,,
1,1,30,RX_Result,RxVerify,-,-,,-,-,-,A0:36:9F:A8:DA:61,5000ms,
1,1,31,Packet12 _Send,Packet,-,-,,FALSE,-,Packet_12,-,,
1,1,32,RX_Result,RxVerify,-,-,,-,-,-,A0:36:9F:A8:DA:63,5000ms,
1,1,33,Packet13 _Send,Packet,-,-,,FALSE,-,Packet_13,-,,
1,1,34,RX_Result,RxVerify,-,-,,-,-,-,6C:B3:11:1C:18:19,5000ms,
1,1,35,Packet14 _Send,Packet,-,-,,FALSE,-,Packet_14,-,,
1,1,36,RX_Result,RxVerify,-,-,,-,-,-,6C:B3:11:1C:18:18,5000ms,
1,1,37,Packet15 _Send,Packet,-,-,,FALSE,-,Packet_15,-,,
1,1,38,RX_Result,RxVerify,-,-,,-,-,-,A0:36:9F:A8:DA:60,5000ms,
1,1,39,Packet16 _Send,Packet,-,-,,FALSE,-,Packet_16,-,,
1,1,40,RX_Result,RxVerify,-,-,,-,-,-,A0:36:9F:A8:DA:61,5000ms,
1,1,41,Packet17 _Send,Packet,-,-,,FALSE,-,Packet_17,-,,
1,1,42,RX_Result,RxVerify,-,-,,-,-,-,A0:36:9F:A8:DA:62,5000ms,
1,1,43,Packet18 _Send,Packet,-,-,,FALSE,-,Packet_18,-,,
1,1,44,RX_Result,RxVerify,-,-,,-,-,-,6C:B3:11:1C:18:19,5000ms,
1,1,45,Packet19 _Send,Packet,-,-,,FALSE,-,Packet_19,-,,
1,1,46,RX_Result,RxVerify,-,-,,-,-,-,6C:B3:11:1C:18:18,5000ms,
1,1,47,Packet20 _Send,Packet,-,-,,FALSE,-,Packet_20,-,,
1,1,48,RX_Result,RxVerify,-,-,,-,-,-,A0:36:9F:A8:DA:60,5000ms,
1,1,49,Packet21_Send,Packet,-,-,,FALSE,-,Packet_21,-,,
1,1,50,RX_Result,RxVerify,-,-,,-,-,-,A0:36:9F:A8:DA:61,5000ms,
1,1,51,Packet22 _Send,Packet,-,-,,FALSE,-,Packet_22,-,,
1,1,52,RX_Result,RxVerify,-,-,,-,-,-,A0:36:9F:A8:DA:62,5000ms,
1,1,53,Packet23 _Send,Packet,-,-,,FALSE,-,Packet_23,-,,
1,1,54,RX_Result,RxVerify,-,-,,-,-,-,A0:36:9F:A8:DA:63,5000ms,
1,1,55,Packet24 _Send,Packet,-,-,,FALSE,-,Packet_24,-,,
1,1,56,RX_Result,RxVerify,-,-,,-,-,-,6C:B3:11:1C:18:18,5000ms,
1,1,57,Packet25 _Send,Packet,-,-,,FALSE,-,Packet_25,-,,
1,1,58,RX_Result,RxVerify,-,-,,-,-,-,A0:36:9F:A8:DA:60,5000ms,
